"Top 1000 unusual terms in quadrigramme.keyword","@timestamp per day","version.keyword: Descending",Count
GMKT,1575586800000,"V19-09-SNAPSHOT",4
GMKT,1575932400000,"V19-09-SNAPSHOT",1
RISE,1575500400000,"V02-03-SNAPSHOT",4
RISE,1575586800000,"V02-03-SNAPSHOT",4
GSEC,1575241200000,"V03-61-SNAPSHOT",3
GSEC,1575327600000,"V03-61-SNAPSHOT",12
GSEC,1575414000000,"V03-61-SNAPSHOT",45
GSEC,1575500400000,"V03-61-SNAPSHOT",3
GSEC,1576105200000,"V03-61-SNAPSHOT",3
KPEP,1575241200000,"V19-04-SNAPSHOT",1
KPEP,1575327600000,"V19-04-SNAPSHOT",69
KPEP,1575414000000,"V19-04-SNAPSHOT",18
KPEP,1575500400000,"V19-04-SNAPSHOT",31
KPEP,1575586800000,"V19-04-SNAPSHOT",6
KPEP,1575846000000,"V19-04-SNAPSHOT",24
KPEP,1575932400000,"V19-04-SNAPSHOT",30
KPEP,1576018800000,"V19-04-SNAPSHOT",6
KPEP,1576105200000,"V19-04-SNAPSHOT",43
KPEP,1576191600000,"V19-04-SNAPSHOT",12
KPEP,1576450800000,"V19-04-SNAPSHOT",3
KPEP,1576537200000,"V19-04-SNAPSHOT",27
KPEP,1576623600000,"V19-04-SNAPSHOT",8
KPEP,1576710000000,"V19-04-SNAPSHOT",12
KPEP,1576796400000,"V19-04-SNAPSHOT",52
GGEN,1575327600000,"V03-60-SNAPSHOT",4
IEDN,1575241200000,"V19-04-SNAPSHOT",3
IEDN,1575327600000,"V19-04-SNAPSHOT",37
IEDN,1575414000000,"V19-04-SNAPSHOT",13
IEDN,1575500400000,"V19-04-SNAPSHOT",18
IEDN,1575586800000,"V19-04-SNAPSHOT",83
IEDN,1575846000000,"V19-04-SNAPSHOT",19
IEDN,1575932400000,"V19-04-SNAPSHOT",19
IEDN,1576018800000,"V19-04-SNAPSHOT",39
IEDN,1576105200000,"V19-04-SNAPSHOT",9
IEDN,1576191600000,"V19-04-SNAPSHOT",71
IEDN,1576450800000,"V19-04-SNAPSHOT",5
IEDN,1576537200000,"V19-04-SNAPSHOT",1
IEDN,1576623600000,"V19-04-SNAPSHOT",1
IEDN,1576796400000,"V19-04-SNAPSHOT",3
IEDN,1577055600000,"V19-04-SNAPSHOT",12
RADH,1576796400000,"V03-03-SNAPSHOT",3
GCOC,1576796400000,"V20-04-SNAPSHOT",12
GCOC,1577142000000,"V20-04-SNAPSHOT",3
MCOT,1575414000000,"V19-39-SNAPSHOT",3
MCOT,1577055600000,"V20-01-SNAPSHOT",40
GQPP,1576018800000,"V01-01-SNAPSHOT",10
GLTC,1576623600000,"V03-62-SNAPSHOT",5
ACIN,1576191600000,"V04_03_02",1
ACIN,1576710000000,"V04_03_02",10
KSNP,1576018800000,"V19-06-SNAPSHOT",4
KSNP,1576105200000,"V19-06-SNAPSHOT",6
KMIR,1577055600000,"V19-02-SNAPSHOT",5
KMIR,1577142000000,"V19-02-SNAPSHOT",1
RVQB,1575241200000,"V02-00-SNAPSHOT",8
KIDB,1575586800000,"V19-03-SNAPSHOT",2
KIDB,1575586800000,"V19-02-SNAPSHOT",1
KIDB,1575846000000,"V19_04_05",4
KIDB,1575932400000,"V19_04_05",4
RGAB,1575500400000,"V01-24-SNAPSHOT",2
RGAB,1576191600000,"V01-24-SNAPSHOT",8
RGAB,1576450800000,"V01-24-SNAPSHOT",3
MCOI,1575846000000,"V20-01-SNAPSHOT",4
MCOI,1576191600000,"V20-01-SNAPSHOT",12
MCOI,1577055600000,"V20-01-SNAPSHOT",8
MCOO,1575846000000,"V20-01-SNAPSHOT",1
MCOO,1576623600000,"V20-01-SNAPSHOT",4
MCOO,1577055600000,"V20-01-SNAPSHOT",6
SEGA,1575414000000,"V04_00_04",1
SEGA,1576710000000,"V04_00_04",3
SEGA,1577055600000,"V04_00_04",16
GABO,1575241200000,"V01-09-SNAPSHOT",6
GABO,1575327600000,"V01-09-SNAPSHOT",3
GABO,1575414000000,"V01-09-SNAPSHOT",6
GABO,1575500400000,"V01-09-SNAPSHOT",11
GABO,1575586800000,"V01-09-SNAPSHOT",18
GABO,1575846000000,"V01-09-SNAPSHOT",11
GABO,1575932400000,"V01-09-SNAPSHOT",14
GABO,1576105200000,"V01-09-SNAPSHOT",1
GABO,1576710000000,"V01-09-SNAPSHOT",28
GABO,1577142000000,"V01-09-SNAPSHOT",6
RVQE,1575241200000,"V02-01-SNAPSHOT",17
RGID,1575241200000,"V01-88-SNAPSHOT",5
RGID,1575500400000,"V01-88-SNAPSHOT",1
RGID,1575846000000,"V01-88-SNAPSHOT",5
RGID,1576191600000,"V01-88-SNAPSHOT",2
RGID,1576450800000,"V01-88-SNAPSHOT",1
RGID,1576623600000,"V01-88-SNAPSHOT",2
RGID,1577055600000,"V01-88-SNAPSHOT",7
RGID,1577142000000,"V01-88-SNAPSHOT",1
AGDI,1575414000000,"V19-16-SNAPSHOT",2
AGDI,1575500400000,"V19-16-SNAPSHOT",24
AGDI,1575586800000,"V19-17-SNAPSHOT",9
AGDI,1576018800000,"V19-17-SNAPSHOT",2
AGDI,1576105200000,"V19-17-SNAPSHOT",5
AGDI,1576450800000,"V19-18-SNAPSHOT",29
KDMO,1575500400000,"V19_04_63",7
KDMO,1575586800000,"V19_04_63",10
KDMO,1575846000000,"V19_04_63",1
KDMO,1575932400000,"V19_04_63",2
KDMO,1576191600000,"V19_04_63",10
KDMO,1576450800000,"V19_04_63",34
KDMO,1576537200000,"V19_04_63",12
KDMO,1576623600000,"V19_04_63",9
KDMO,1576710000000,"V19_04_64",3
KDMO,1577055600000,"V19_04_64",2
NAIA,1576018800000,"V18-02-SNAPSHOT",4
SADS,1575846000000,"V02-05-SNAPSHOT",1
SADS,1576018800000,"V02-05-SNAPSHOT",1
SADS,1576450800000,"V02-05-SNAPSHOT",2
SADS,1576623600000,"V02-05-SNAPSHOT",3
SADS,1577142000000,"V02_00_11",1
IESD,1575414000000,"V19-03-SNAPSHOT",4
TLIS,1576018800000,"V01-34-SNAPSHOT",3
RDAP,1575846000000,"V01-27-SNAPSHOT",5
RDAP,1576450800000,"V01-27-SNAPSHOT",2
RDAP,1576623600000,"V01-27-SNAPSHOT",2
RDAP,1576796400000,"V01-27-SNAPSHOT",2
RVQC,1575241200000,"V02-01-SNAPSHOT",4
RVQC,1576537200000,"V02-01-SNAPSHOT",2
RVQC,1576623600000,"V02-01-SNAPSHOT",2
RVQC,1576710000000,"V02-01-SNAPSHOT",4
